ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
AEP95278__JN202450.1	JN202450.1_Gray fox amdovirus	1093101	Gray fox amdovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 2	JN202450.1	Amdoparvovirus	Carnivore amdoparvovirus 2	JN202450.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 2	AEP95278	JN202450.1	AEP95278	AEP95278__JN202450.1_Species 6
ANC70152__KU856580.1	KU856580.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU856580.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU856580.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ANC70152	KU856580.1	ANC70152,ANC70142,ANC70137,ANC70132,ANC70127,ANC70122,ANC70117,ANC70112,ANC70107,ANC70102,ANC70097,ANC70092,ANC70087,ANC70082,ANC70077,ANC70072,ANC70067,ANC70062,ANC70057,ANC70052,AQS80396,AQS80390,AQS80375,ANC57660,ANC57655,ANC57650,ANC57645,AME15910,AEK27531,CAA54349,P24030,NP_042872,AAA66612,ATX68202	ANC70152__KU856580.1_Species 7
APC23176__KT961665.1	KT961665.1_Simian bocavirus	2042693	Simian bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT961665.1	Bocaparvovirus	unclassified Bocaparvovirus	KT961665.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	APC23176	KT961665.1	APC23176	APC23176__KT961665.1_Species 14
AEF33726__JF512473.1	JF512473.1_Porcine bocavirus 4/F41/N.Ireland/2004	1033267	Porcine bocavirus 4/F41/N.Ireland/2004	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 4	JF512473.1	Bocaparvovirus	Porcine bocavirus 4	JF512473.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 4	AEF33726	JF512473.1	AEF33726,AIY27459,AHK26966	AEF33726__JF512473.1_Species 12
AGW95844__KC876004.1	KC876004.1_Pigeon parvovirus A	1399967	Pigeon parvovirus A	Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	KC876004.1	undef	unclassified Parvoviridae	KC876004.1_Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	AGW95844	KC876004.1	AGW95844	AGW95844__KC876004.1_Species 9
BAU88511__LC148407.1	LC148407.1_Feline bocavirus	1174530	Feline bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	LC148407.1	Bocaparvovirus	Carnivore bocaparvovirus 3	LC148407.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	BAU88511	LC148407.1	BAU88511,BAU88510,YP_008802580,AGZ93685,BAU88512	BAU88511__LC148407.1_Species 14
ASW21303__KX826938.1	KX826938.1_Human bocavirus	329641	Human bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KX826938.1	Bocaparvovirus	unclassified Bocaparvovirus	KX826938.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASW21303	KX826938.1	ASW21303,AJE63443,AJE63439,AJD85771,YP_002916062,ACR15781,AGI99541,AJD85763,AJC01337,ACR15776,ACR15765,ADB77895,ADD39255,ACR15770,ADH44725,ADH44721,ASU91615,YP_002586775,ACJ38933,AGC92304,AGC92300,AFW98868,ACP39936,ADB77899,ADD39263,ADD39258,ACS74735,ACR43450,ABW79863,ABW79867,ACJ38941,ACJ38937,ASW21302,AJE63444,AJE63440,AJD85772,YP_002916063,ACR15782,AGI99542,AJC01338	ASW21303__KX826938.1_Species 33
ASU04383__KX752821.1	KX752821.1_Human parvovirus B19	10798	Human parvovirus B19	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1	KX752821.1	Erythroparvovirus	Primate erythroparvovirus 1	KX752821.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1	ASU04383	KX752821.1	ASU04383,P07298,Q9PZT1,AKQ44381,ALQ33059,ALF95957,ALF95952,ALF95946,ALF95940,ALF95934,YP_004928144,AIK97779,AIK97774,AIS74866,AIS74861,AIS74856,AIS74851,AIS74846,AIS74841,AIS74836,AII82174,AII82171,AAX83876,AGT28237,AGT28232,AGT28227,AGT28222,AGT28214,AGT28209,AGT28204,AGT28183,AGT28176,AGT28168,AGT28163,AGT28158,AGT28153,AGT28148,AGT28143,AGT28138,AGT28132,AGT28127,AGT28116,AGT28111,AGT28108,AGT28099,AGT28092,AGT28082,AGT28075,AGT28070,ACI96278,NP_694863,AFO54486,CBJ94528,CBJ94525,CBJ94519,CBJ94516,CBJ94513,ADQ57308,ADQ57306,AAL91012,AAR97625,BAI82364,ACL36592,ABL09113,ABL09108,AAQ91878,AAD46613,AAC99437,CBI63311,CBI63305,AAL55420,AAL55416,AAT67239,AAA66866,AAK95570,BAA90291,BAA90288,BAA90266,BAD02258,BAD02255,BAD02252,BAD02249,BAD02246,BAD02243,BAD02240,BAD02237,BAD02234,BAD02231,ABD64553,ABD64550,ABD64547,ABD64544,ABD64541,ABC54827,ABC54824,ABC54821,ABN45789,ABL09136,ABL09131,ABL09126,ABB36720,ABB36716,ABC02067,ABC87246,ABC87241,ABB13547,ABB13542,ABB13537,ABB13532,CAA92269,CAG70337,CAG30503,CAC80618,CAA03197,CAA94439,CAA94512,CAA94472,CAG70328,CAG70325,CAG70323,CAG70320,CAG70317,AFM45126,AFM45123,AFM45270,AFM45258,AFM45222,AFM45192,AFM45189,AFM45186,AFM45162,AFM45135,AFM45132,AFM45267,AAD45913,AAD45911,AFM45198,AFM45171,AFM45141,CAG70334,CAG70331,AFM45291,AAD45914,AFM45108,AAD45916,AFM45285,AFM45282,AFM45129,AFM45120,AFM45117,AFM45114,AFM45111,AFM45105,AFM45102,AFM45294,AFM45288,AFM45279,AFM45276,AFM45273,AFM45264,AFM45261,AFM45255,AFM45252,AFM45249,AFM45246,AFM45243,AFM45240,AFM45237,AFM45234,AFM45231,AFM45228,AFM45225,AFM45216,AFM45213,AFM45210,AFM45207,AFM45204,AFM45201,AFM45195,AFM45183,AFM45180,AFM45177,AFM45174,AFM45168,AFM45165,AFM45159,AFM45156,AFM45153,AFM45150,AFM45147,AFM45144,AFM45138,AFM45219,AAD45908,CBJ94522,CEJ95810,AGT28188,AGT28207,AGT28193,AGT28173,AGT28097,AGT28080,AGT28056,AGT28059,AGT28121,AGT28065,ALF95932,AGT28240,ALQ33080,ALQ33078,ALQ33076,ALQ33074,ALQ33072,ABN11281,ABN11280,ABN11279,AGT28199,ALQ33071,ALQ33070,ALQ33069,ALQ33068,ALQ33067,ALQ33066,ALQ33065,ALQ33064,ALF95931	ASU04383__KX752821.1_Species 4
AAZ79672__DQ100362.1	DQ100362.1_Mouse adeno-associated virus 1	341226	Mouse adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	DQ100362.1	Dependoparvovirus	unclassified Dependoparvovirus	DQ100362.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AAZ79672	DQ100362.1	AAZ79672,AAZ79673,AAZ79674	AAZ79672__DQ100362.1_Species 20
AHK22793__KF937794.1	KF937794.1_Avian adeno-associated virus	341671	Avian adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Avian dependoparvovirus 1	KF937794.1	Dependoparvovirus	Avian dependoparvovirus 1	KF937794.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Avian dependoparvovirus 1	AHK22793	KF937794.1	AHK22793,ACU30842	AHK22793__KF937794.1_Species 20
ALT55206__KU295523.1	KU295523.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295523.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295523.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55206	KU295523.1	ALT55206,ALT55194,ALT55193,ACY54678,CAA54355,ATX68199,ATX68198,AME15916	ALT55206__KU295523.1_Species 7
AFD01611__JN798208.1	JN798208.1_Parvovirus 4-like MK-2012	1157691	Parvovirus 4-like MK-2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JN798208.1	Protoparvovirus	unclassified Protoparvovirus	JN798208.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFD01611	JN798208.1	AFD01611,AFD01609,AFD01615,AFD01612,AFD01610,AFD01616,AFD01613	AFD01611__JN798208.1_Species 26
ACN42940__FJ688147.1	FJ688147.1_Adeno-associated virus - Po1	607682	Adeno-associated virus - Po1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	FJ688147.1	Dependoparvovirus	unclassified Dependoparvovirus	FJ688147.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ACN42940	FJ688147.1	ACN42940,AGA15926,ACN42941,ACN42942	ACN42940__FJ688147.1_Species 20
ALT55209__KU295526.1	KU295526.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295526.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295526.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55209	KU295526.1	ALT55209	ALT55209__KU295526.1_Species 7
YP_009241376__LC085675	LC085675_Megabat bufavirus 1	1756191	Megabat bufavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	LC085675	Protoparvovirus	unclassified Protoparvovirus	LC085675_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	YP_009241376	LC085675	YP_009241376,BAU69604,BAU69607,BAU69603,BAU69602,BAU69601,BAU69600,BAU69599,BAU69597,BAU69596	YP_009241376__LC085675_Species 8
AAZ79676__DQ100363.1	DQ100363.1_Rat adeno-associated virus 1	341227	Rat adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	DQ100363.1	Dependoparvovirus	unclassified Dependoparvovirus	DQ100363.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AAZ79676	DQ100363.1	AAZ79676,AAZ79677,ATY47691,AAZ79678	AAZ79676__DQ100363.1_Species 20
ARS03593__KY050744.1	KY050744.1_Human bocavirus 2	573977	Human bocavirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	KY050744.1	Bocaparvovirus	Primate bocaparvovirus 2	KY050744.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	ARS03593	KY050744.1	ARS03593,ACR15771	ARS03593__KY050744.1_Species 33
YP_005090504__JQ037753	JQ037753_Eidolon helvum (bat) parvovirus	1131483	Eidolon helvum (bat) parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1	JQ037753	Tetraparvovirus	Chiropteran tetraparvovirus 1	JQ037753_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1	YP_005090504	JQ037753	YP_005090504,AEX38011	YP_005090504__JQ037753_Species 37
ATI09457__MF593479.1	MF593479.1_Camel bocavirus 3	2036691	Camel bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF593479.1	Bocaparvovirus	unclassified Bocaparvovirus	MF593479.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATI09457	MF593479.1	ATI09457	ATI09457__MF593479.1_Species 14
YP_009389291__KY640438	KY640438_Dromedary camel bocaparvovirus 2	2014604	Dromedary camel bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640438	Bocaparvovirus	unclassified Bocaparvovirus	KY640438_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009389291	KY640438	YP_009389291,ASC49401,ASC49389,ASC49368	YP_009389291__KY640438_Species 29
AFD01617__JN798211.1	JN798211.1_Parvovirus 4-like MK-2012	1157691	Parvovirus 4-like MK-2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JN798211.1	Protoparvovirus	unclassified Protoparvovirus	JN798211.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFD01617	JN798211.1	AFD01617	AFD01617__JN798211.1_Species 38
AIW53333__KM254174.1	KM254174.1_Protoparvovirus HK-2014	1566336	Protoparvovirus HK-2014	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KM254174.1	Protoparvovirus	unclassified Protoparvovirus	KM254174.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AIW53333	KM254174.1	AIW53333	AIW53333__KM254174.1_Species 11
ACB55304__EU368912.1	EU368912.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	EU368912.1	Dependoparvovirus	unclassified Dependoparvovirus	EU368912.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ACB55304	EU368912.1	ACB55304,AAO88207	ACB55304__EU368912.1_Species 20
YP_009315890__KU321655	KU321655_Rhinolophus sinicus bocaparvovirus	1911555	Rhinolophus sinicus bocaparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU321655	Bocaparvovirus	unclassified Bocaparvovirus	KU321655_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009315890	KU321655	YP_009315890,AOX47687,AOX47682,AOX47677,AOX47672,AOX47667,AOX47662,AOX47657,AOX47652,AOX47647,AOX47642	YP_009315890__KU321655_Species 14
YP_005090505__JQ037753	JQ037753_Eidolon helvum (bat) parvovirus	1131483	Eidolon helvum (bat) parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1	JQ037753	Tetraparvovirus	Chiropteran tetraparvovirus 1	JQ037753_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1	YP_005090505	JQ037753	YP_005090505,AEX38012,YP_005090507,AEX38013	YP_005090505__JQ037753_Species 25
ANN02913__KU172423.1	KU172423.1_Bovine hokovirus 2	1096141	Bovine hokovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1	KU172423.1	Tetraparvovirus	Ungulate tetraparvovirus 1	KU172423.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1	ANN02913	KU172423.1	ANN02913,YP_009175068,ALK01963,ALK01960,ALK01957,ALK01954,ALK01951,ALK01948,AEQ76793,AEQ76790,ABY67685,ABY67682,ABY67679	ANN02913__KU172423.1_Species 42
AFD01618__JN798211.1	JN798211.1_Parvovirus 4-like MK-2012	1157691	Parvovirus 4-like MK-2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JN798211.1	Protoparvovirus	unclassified Protoparvovirus	JN798211.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFD01618	JN798211.1	AFD01618,AFD01619	AFD01618__JN798211.1_Species 26
AQR59067__KX084398.1	KX084398.1_Turkey parvovirus 1078	740933	Turkey parvovirus 1078	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KX084398.1	Protoparvovirus	unclassified Protoparvovirus	KX084398.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AQR59067	KX084398.1	AQR59067,AQR59063,AQR59059,AQR59090,AQR59115,AQR59111,AQR59107,AQR59103,AQR59096,AQR59092,AQR59086,AQR59082,AQR59078,AQR59074,APT42879,APR73487,AMZ04136,AIW53325,AJB28744,AKA44565,AKA44553,AKA44549,AKA44545,YP_009046818,ACA28962,ADD22713,ADD22705,ACA28961,AKA44573,AKA44569,AKA44561,AKA44557	AQR59067__KX084398.1_Species 10
ANN02914__KU172423.1	KU172423.1_Bovine hokovirus 2	1096141	Bovine hokovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1	KU172423.1	Tetraparvovirus	Ungulate tetraparvovirus 1	KU172423.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1	ANN02914	KU172423.1	ANN02914,YP_009175069,ALK01964,ALK01961,ALK01958,ALK01955,ALK01952,ALK01949,AEQ76794,AEQ76791,ABY67686,ABY67683,ABY67680	ANN02914__KU172423.1_Species 26
YP_009389294__KY640421	KY640421_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640421	Bocaparvovirus	unclassified Bocaparvovirus	KY640421_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009389294	KY640421	YP_009389294,ASC49300,ASC49364	YP_009389294__KY640421_Species 30
YP_009315893__KU321655	KU321655_Rhinolophus sinicus bocaparvovirus	1911555	Rhinolophus sinicus bocaparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU321655	Bocaparvovirus	unclassified Bocaparvovirus	KU321655_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009315893	KU321655	YP_009315893,AOX47689,AOX47684,AOX47679,AOX47674,AOX47669,AOX47664,AOX47659,AOX47654,AOX47649,AOX47644,YP_009315894,AOX47690,AOX47685,AOX47680,AOX47675,AOX47670,AOX47665,AOX47660,AOX47655,AOX47650,AOX47645	YP_009315893__KU321655_Species 34
AAF61211__AF221122.1	AF221122.1_Rhesus macaque parvovirus	119756	Rhesus macaque parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3	AF221122.1	Erythroparvovirus	Primate erythroparvovirus 3	AF221122.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3	AAF61211	AF221122.1	AAF61211	AAF61211__AF221122.1_Species 22
YP_077179__AF513852	AF513852_Adeno-associated virus - 8	202813	Adeno-associated virus - 8	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	AF513852	Dependoparvovirus	Adeno-associated virus - 4	AF513852_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	YP_077179	AF513852	YP_077179,AAN03856,APD78413,YP_077177,NP_049541,AAN03854,AAD27758,AAB95449,ABA71700,ABA71698,CAP58622,CAP58620,AAT46338,AAT46336,CAP58623,CAP58624,CAP58625	YP_077179__AF513852_Species 46
ADF32027__GU938300.1	GU938300.1_Parvovirus YX-2010/CHN	754189	Parvovirus YX-2010/CHN	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus	GU938300.1	Tetraparvovirus	Porcine Cnvirus	GU938300.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus	ADF32027	GU938300.1	ADF32027,ATE46003,YP_009389278,AOZ16746,APR64506,APR64504,AOT82269,YP_009112878,AIZ07779,AKR53678,BAP28820,AGO88184,AGO88183,AGO88182,AFQ55394,AFQ55392,ADF32029,ADF32025,BAB87765,ADF32027	ADF32027__GU938300.1_Species 43
AAF61212__AF221122.1	AF221122.1_Rhesus macaque parvovirus	119756	Rhesus macaque parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3	AF221122.1	Erythroparvovirus	Primate erythroparvovirus 3	AF221122.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3	AAF61212	AF221122.1	AAF61212	AAF61212__AF221122.1_Species 3
AFK85003__JQ814850.1	JQ814850.1_Myotis myotis bocavirus 1	1195367	Myotis myotis bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	JQ814850.1	Bocaparvovirus	unclassified Bocaparvovirus	JQ814850.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AFK85003	JQ814850.1	AFK85003	AFK85003__JQ814850.1_Species 15
AAF61213__AF221123.1	AF221123.1_Pig-tailed macaque parvovirus	119755	Pig-tailed macaque parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4	AF221123.1	Erythroparvovirus	Primate erythroparvovirus 4	AF221123.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4	AAF61213	AF221123.1	AAF61213	AAF61213__AF221123.1_Species 3
AFK85005__JQ814850.1	JQ814850.1_Myotis myotis bocavirus 1	1195367	Myotis myotis bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	JQ814850.1	Bocaparvovirus	unclassified Bocaparvovirus	JQ814850.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AFK85005	JQ814850.1	AFK85005	AFK85005__JQ814850.1_Species 35
ASC49292__KY640419.1	KY640419.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640419.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640419.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49292	KY640419.1	ASC49292,ASC49308,ASC49284,ASC49293,ASC49309,ASC49285	ASC49292__KY640419.1_Species 30
AGI62174__JX627317.1	JX627317.1_Rat minute virus	1299922	Rat minute virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JX627317.1	Protoparvovirus	unclassified Protoparvovirus	JX627317.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AGI62174	JX627317.1	AGI62174,AGG38824,AAM93278,AGI62175,ABK20161,AAM93280,AGG38825	AGI62174__JX627317.1_Species 19
AAF61214__AF221123.1	AF221123.1_Pig-tailed macaque parvovirus	119755	Pig-tailed macaque parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4	AF221123.1	Erythroparvovirus	Primate erythroparvovirus 4	AF221123.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4	AAF61214	AF221123.1	AAF61214	AAF61214__AF221123.1_Species 22
AOZ60499__KU980933.1	KU980933.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU980933.1	Bocaparvovirus	unclassified Bocaparvovirus	KU980933.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AOZ60499	KU980933.1	AOZ60499,AOZ60495,AOZ60493,AOZ60492,AEI99166	AOZ60499__KU980933.1_Species 14
AFV48069__JX627576.1	JX627576.1_WUHARV Parvovirus 1	1245561	WUHARV Parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JX627576.1	Protoparvovirus	unclassified Protoparvovirus	JX627576.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFV48069	JX627576.1	AFV48069	AFV48069__JX627576.1_Species 8
ATJ03467__MF285607.1	MF285607.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	MF285607.1	Amdoparvovirus	Carnivore amdoparvovirus 1	MF285607.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ATJ03467	MF285607.1	ATJ03467,ARO85894,ALT55204,ALT55203,ALT55202,ALT55201,ALT55200	ATJ03467__MF285607.1_Species 7
YP_009361877__KX981923	KX981923_Skunk amdoparvovirus	1961072	Skunk amdoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	KX981923	Amdoparvovirus	unclassified Amdoparvovirus	KX981923_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	YP_009361877	KX981923	YP_009361877,AQS80366,AQS80317,AQS80312,AQS80307,AQS80302,AQS80287,AQS80365,AQS80362,AQS80361,AQS80360,AQS80359,AQS80358,AQS80357,AQS80349,AQS80348,AQS80347,AQS80346,AQS80345,AQS80344,AQS80343,AQS80342,AQS80340,AQS80338,AQS80337,AQS80334,AQS80330	YP_009361877__KX981923_Species 7
